0 (485110.4208, 4294677.912, 81.0)
1 (485110.4208, 4294383.0, 81.0)
2 (485110.4208, 4294088.088, 81.0)
3 (485110.4208, 4293793.176000001, 81.0)
4 (485110.4208, 4293498.264000001, 81.0)
5 (485110.4208, 4293203.352000002, 81.0)
6 (485110.4208, 4292908.440000002, 81.0)
7 (485110.4208, 4292613.528000003, 81.0)
8 (485110.4208, 4292318.616000003, 81.0)
9 (485110.4208, 4292023.704000004, 81.0)
10 (485110.4208, 4291728.792000004, 81.0)
11 (485110.4208, 4291433.880000005, 81.0)
12 (485110.4208, 4291138.968000005, 81.0)
13 (485110.4208, 4290844.056000005, 81.0)
14 (485110.4208, 4290549.144000006, 81.0)
15 (485110.4208, 4290254.232000006, 81.0)
16 (486039.3936, 4294677.912, 81.0)
17 (486039.3936, 4294383.0, 81.0)
18 (486039.3936, 4294088.088, 81.0)
19 (486039.3936, 4293793.176000001, 81.0)
20 (486039.3936, 4293498.264000001, 81.0)
21 (486039.3936, 4293203.352000002, 81.0)
22 (486039.3936, 4292908.440000002, 81.0)
23 (486039.3936, 4292613.528000003, 81.0)
24 (486039.3936, 4292318.616000003, 81.0)
25 (486039.3936, 4292023.704000004, 81.0)
26 (486039.3936, 4291728.792000004, 81.0)
27 (486039.3936, 4291433.880000005, 81.0)
28 (486039.3936, 4291138.968000005, 81.0)
29 (486039.3936, 4290844.056000005, 81.0)
30 (486039.3936, 4290549.144000006, 81.0)
31 (486039.3936, 4290254.232000006, 81.0)
