GPS0036,-88481.105,-100884.193,75.186
GPS0035,-88481.103,-100884.193,75.182
GPS0034,-88481.106,-100884.188,75.178
GPS0033,-88481.113,-100884.190,75.186
GPS0032,-88481.112,-100884.195,75.188
GPS0031,-89065.184,-101082.299,88.544
GPS0030,-89065.189,-101082.296,88.536
GPS0029,-89065.190,-101082.295,88.538
GPS0028,-89065.186,-101082.295,88.536
GPS0027,-89065.183,-101082.297,88.538
GPS0026,-89628.297,-102354.216,75.157
GPS0025,-89628.296,-102354.221,75.161
GPS0024,-89628.302,-102354.222,75.132
GPS0023,-89628.300,-102354.227,75.155
GPS0022,-89628.293,-102354.210,75.139
GPS0021,-89651.489,-102333.064,75.875
GPS0020,-89651.489,-102333.068,75.892
GPS0019,-89651.495,-102333.070,75.889
GPS0018,-89651.483,-102333.073,75.886
GPS0017,-89651.479,-102333.065,75.884
GPS0016,-88767.671,-102087.328,85.361
GPS0015,-88767.681,-102087.329,85.379
GPS0014,-88767.681,-102087.332,85.366
GPS0013,-88767.674,-102087.329,85.337
GPS0012,-88767.680,-102087.335,85.341
GPS0011,-87892.959,-101683.329,94.539
GPS0010,-87892.939,-101683.329,94.539
GPS0009,-87892.957,-101683.319,94.531
GPS0008,-87892.964,-101683.318,94.535
GPS0007,-87892.963,-101683.321,94.538
GPS0006,-87892.949,-101683.346,94.531
GPS0005,-87888.234,-101700.696,94.428
GPS0004,-87888.238,-101700.692,94.427
GPS0003,-87888.236,-101700.690,94.432
GPS0002,-87888.237,-101700.699,94.427
GPS0001,-87888.231,-101700.698,94.428
IGP0,-89170.496,-104106.957,125.537
